"","Names","scores"
"1","f__Thermaceae",-2.1568402716924
"2","f__Sphingobacteriaceae",-1.23295460437764
"3","f__Flavobacteriaceae",-1.08159816801896
"4","f__Weeksellaceae",-0.819540182865278
"5","f__Lactobacillaceae",-0.783013209097042
"6","f__Candidatus_Kaiserbacteria",-0.549381312417454
"7","f__Alcaligenaceae",-0.450722469422393
"8","f__Bdellovibrionaceae",-0.448906064588715
"9","f__0319.6G20",-0.0463471812412767
"10","f__Saccharimonadales",-0.0296627146136396
"11","f__Oligoflexales",0.0270436355238444
"12","f__Erysipelotrichaceae",0.280068630492941
"13","f__Moraxellaceae",1.20526107956423
